Title,Price,Rating,Rating_Numeric,Polarity,Subjectivity,Sentiment
Birdsong: A Story in Pictures,54.64,Three,3,0.0,0.0,Neutral
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Three,3,0.0,0.0,Neutral
Aladdin and His Wonderful Lamp,53.13,Three,3,1.0,1.0,Positive
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,Five,5,0.0,0.0,Neutral
Wall and Piece,44.18,Four,4,0.0,0.0,Neutral
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Five,5,0.0,0.3,Neutral
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,3,0.25,0.8,Positive
The Elephant Tree,23.82,Five,5,0.0,0.0,Neutral
The Bear and the Piano,36.89,One,1,0.0,0.0,Neutral
Sophie's World,15.94,Five,5,0.0,0.0,Neutral
Penny Maybe,33.29,Three,3,0.0,0.0,Neutral
Maude (1883-1993):She Grew Up with the country,18.02,Two,2,0.0,0.0,Neutral
"In a Dark, Dark Wood",19.63,One,1,-0.15,0.4,Negative
Behind Closed Doors,52.22,Four,4,-0.25,0.39999999999999997,Negative
You can't bury them all: Poems,33.63,Two,2,0.0,0.0,Neutral
Slow States of Collapse: Poems,57.31,Three,3,-0.30000000000000004,0.39999999999999997,Negative
Reasons to Stay Alive,26.41,Two,2,0.1,0.4,Neutral
Private Paris (Private #10),47.61,Five,5,0.0,0.375,Neutral
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five,5,0.4,0.8,Positive
Without Borders (Wanderlove #1),45.07,Two,2,0.0,0.0,Neutral
When We Collided,31.77,One,1,0.0,0.0,Neutral
"We Love You, Charlie Freeman",50.27,Five,5,0.5,0.6,Positive
Untitled Collection: Sabbath Poems 2014,14.27,Four,4,0.0,0.0,Neutral
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four,4,-0.0625,0.1875,Neutral
Unicorn Tracks,18.78,Three,3,0.0,0.0,Neutral
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One,1,0.0,0.1,Neutral
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,1,0.0,0.0,Neutral
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three,3,0.0,0.0,Neutral
This One Summer,19.49,Four,4,0.0,0.0,Neutral
Thirst,17.27,Five,5,0.0,0.0,Neutral
The Torch Is Passed: A Harding Family Story,19.09,One,1,0.0,0.0,Neutral
The Secret of Dreadwillow Carse,56.13,One,1,-0.4,0.7,Negative
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One,1,0.4375,0.6875,Positive
The Past Never Ends,56.5,Four,4,-0.25,0.25,Negative
The Natural History of Us (The Fine Art of Pretending #2),45.22,Three,3,0.25833333333333336,0.45,Positive
The Nameless City (The Nameless City #1),38.16,Four,4,-0.5,0.9,Negative
The Murder That Never Was (Forensic Instincts #5),54.11,Three,3,0.0,0.0,Neutral
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Four,4,0.5,0.5166666666666667,Positive
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Four,4,0.4,0.8,Positive
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Three,3,0.25,0.5,Positive
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Five,5,0.0,0.0,Neutral
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,One,1,0.1,0.4,Neutral
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,One,1,0.0,0.0,Neutral
The Death of Humanity: and the Case for Life,58.11,Four,4,0.0,0.0,Neutral
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Three,3,0.0,0.0,Neutral
The Art Forger,40.76,Three,3,0.0,0.0,Neutral
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,One,1,0.2,0.3,Positive
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Five,5,0.2,0.3,Positive
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Four,4,0.8,0.2,Positive
Soul Reader,39.58,Two,2,0.0,0.0,Neutral
Security,39.25,Two,2,0.0,0.0,Neutral
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Three,3,0.0,0.0,Neutral
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,2,0.0,0.0,Neutral
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Two,2,0.0,0.0,Neutral
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three,3,0.0,0.0,Neutral
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,5,0.0,0.0,Neutral
Princess Between Worlds (Wide-Awake Princess #5),13.34,Five,5,0.0,0.0,Neutral
"Pop Gun War, Volume 1: Gift",18.97,One,1,0.0,0.0,Neutral
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,Two,2,-0.25785714285714284,0.32476190476190475,Negative
Patience,10.16,Three,3,0.0,0.0,Neutral
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,4,0.0,0.0,Neutral
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,1,0.1,0.4,Neutral
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,One,1,0.1,0.3,Neutral
On a Midnight Clear,14.07,Three,3,0.09999999999999999,0.3833333333333333,Neutral
Obsidian (Lux #1),14.86,Two,2,0.0,0.0,Neutral
My Paris Kitchen: Recipes and Stories,33.37,Two,2,0.0,0.0,Neutral
Masks and Shadows,56.4,Two,2,0.0,0.0,Neutral
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Four,4,-0.2333333333333333,0.5833333333333334,Negative
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,2,0.0,0.0,Neutral
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,3,0.0,0.0,Neutral
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,2,-1.0,1.0,Negative
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,One,1,0.6,0.9,Positive
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,Two,2,-0.16666666666666666,0.43333333333333335,Negative
Join,35.67,Five,5,0.0,0.0,Neutral
In the Country We Love: My Family Divided,22.0,Four,4,0.5,0.6,Positive
